Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Monday, June 17, 2024 6:55 AM CEST",1013,1009,24.2,62,19.6,80,16.1,---,19.6,19.6,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2670,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:00 AM CEST",1013,1009,24.2,62,19.8,79,16.1,---,19.8,19.8,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:05 AM CEST",1013,1009,24.2,62,19.9,79,16.2,---,19.9,19.9,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3339,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:10 AM CEST",1013,1009,24.2,62,20.1,78,16.1,---,20.1,20.1,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:15 AM CEST",1013,1009,24.2,62,20.1,78,16.1,---,20.1,20.1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:20 AM CEST",1012,1009,24.2,62,20.2,77,16.0,---,20.2,20.2,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:25 AM CEST",1012,1009,24.2,62,20.2,77,16.0,---,20.2,20.2,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5190,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:30 AM CEST",1012,1009,24.2,62,20.3,77,16.1,---,20.3,20.3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6290,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:35 AM CEST",1013,1009,24.2,62,20.4,77,16.2,---,20.4,20.4,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, June 17, 2024 7:40 AM CEST",1012,1009,24.2,62,20.5,76,16.1,---,20.5,20.5,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7239,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
