Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Thursday, August 1, 2024 8:00 AM CEST",1012,1009,24.9,55,27.4,65,20.2,29.1,27.4,29.1,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5439,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:05 AM CEST",1012,1008,24.9,54,27.5,66,20.6,29.3,27.5,29.3,283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5780,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:10 AM CEST",1012,1009,24.9,54,27.6,66,20.7,29.5,27.6,29.5,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:15 AM CEST",1012,1009,24.9,54,27.6,67,20.9,29.6,27.6,29.6,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:20 AM CEST",1012,1009,24.9,54,27.7,68,21.3,29.9,27.7,29.9,302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6819,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:25 AM CEST",1012,1009,25.0,54,27.8,68,21.4,30.0,27.8,30.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7119,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:30 AM CEST",1012,1009,25.1,54,27.8,68,21.4,30.0,27.8,30.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7349,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:35 AM CEST",1012,1009,25.2,54,27.9,69,21.7,30.3,27.9,30.3,239,2.9,2.9,2.9,0.0,0.0,0.0,0.0,7639,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:40 AM CEST",1012,1009,25.3,54,28.1,70,22.1,30.9,28.1,30.9,222,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8010,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 8:45 AM CEST",1012,1009,25.3,53,27.9,69,21.7,30.3,27.9,30.3,144,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8239,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
