Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Sunday, September 1, 2024 8:05 AM CEST",1013,1009,26.2,60,25.1,65,18.1,26.1,25.1,25.1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:10 AM CEST",1013,1009,26.3,60,25.1,65,18.1,26.1,25.1,25.1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3759,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:15 AM CEST",1013,1009,26.3,60,25.1,65,18.1,26.1,25.1,25.1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2929,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:20 AM CEST",1013,1009,26.3,60,25.2,65,18.2,26.2,25.2,25.2,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:25 AM CEST",1012,1009,26.2,59,25.2,65,18.2,26.2,25.2,25.2,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4329,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:30 AM CEST",1013,1009,26.2,59,25.3,64,18.0,26.3,25.3,25.3,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4409,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:35 AM CEST",1013,1010,26.2,59,25.3,64,18.0,26.3,25.3,25.3,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4280,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:40 AM CEST",1013,1010,26.2,58,25.4,63,17.9,26.4,25.4,25.4,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5249,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:45 AM CEST",1013,1009,26.2,58,25.4,63,17.9,26.4,25.4,25.4,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5970,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:50 AM CEST",1013,1010,26.3,58,25.5,63,17.9,26.5,25.5,25.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6129,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 8:55 AM CEST",1013,1010,26.3,58,25.5,62,17.7,26.5,25.5,25.5,60,3.6,3.6,3.6,0.0,0.0,0.0,0.0,5839,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:00 AM CEST",1013,1010,26.4,58,25.4,63,17.9,26.4,25.4,25.4,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5739,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:05 AM CEST",1013,1010,26.4,57,25.4,63,17.9,26.4,25.4,25.4,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4519,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:10 AM CEST",1013,1010,26.5,57,25.4,63,17.9,26.4,25.4,25.4,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:15 AM CEST",1013,1010,26.4,57,25.2,63,17.7,26.2,25.2,25.2,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2909,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:20 AM CEST",1013,1010,26.3,57,25.2,63,17.7,26.2,25.2,25.2,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:25 AM CEST",1014,1010,26.2,56,25.1,63,17.6,26.1,25.1,25.1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1539,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:30 AM CEST",1014,1011,26.1,56,25.1,62,17.3,26.1,25.1,25.1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:35 AM CEST",1014,1010,26.1,56,25.1,62,17.3,26.1,25.1,25.1,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:40 AM CEST",1014,1010,26.0,56,24.8,66,18.0,---,24.8,24.8,60,1.8,1.8,1.8,0.0,0.0,0.0,0.0,5370,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:45 AM CEST",1014,1010,26.1,56,24.1,68,17.8,---,24.1,24.1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9259,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:50 AM CEST",1014,1010,26.2,57,24.0,67,17.5,---,24.0,24.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.8,11549,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 9:55 AM CEST",1014,1010,26.3,56,24.0,69,18.0,---,24.0,24.0,214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11229,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:00 AM CEST",1014,1010,26.3,56,24.0,67,17.5,---,24.0,24.0,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11790,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:05 AM CEST",1014,1010,26.4,56,24.1,69,18.1,---,24.1,24.1,162,0.0,0.0,0.0,0.0,0.0,0.0,1.2,14539,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:10 AM CEST",1014,1010,26.5,56,24.2,66,17.5,---,24.2,24.2,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17149,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:15 AM CEST",1014,1010,26.5,56,24.3,64,17.1,---,24.3,24.3,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17359,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:20 AM CEST",1014,1010,26.6,55,24.4,64,17.2,---,24.4,24.4,220,0.0,0.0,0.0,0.0,0.0,0.0,1.5,19490,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:25 AM CEST",1014,1010,26.6,55,24.7,62,16.9,---,24.7,24.7,60,2.2,2.2,2.2,0.0,0.0,0.0,1.0,17359,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:30 AM CEST",1013,1010,26.7,55,24.9,63,17.4,---,24.9,24.9,90,3.2,3.2,3.2,0.0,0.0,0.0,0.9,12080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Sunday, September 1, 2024 10:35 AM CEST",1013,1009,26.6,54,25.0,62,17.2,---,25.0,25.0,228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14729,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
